Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
5474,"Cheese, monterey jack, low fat","Fromage monterey jack, faible en gras","low fat, low in fat, little fat, low source of fat","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses ",12,42155,1,,,,2026-01-28
5475,"Salad dressing, creamy, made with sour cream and/or buttermilk and oil, calorie-reduced, fat free","Vinaigrette, crémeuse, crème sure et/ou babeurre et/ou huile, réduite en calories, sans gras","fat free, free of fat, no fat, 0 fat, zero fat, without fat, contains no fat, non fat","sans lipides, 0 lipides, zéro lipides, aucuns lipides , ne contient pas de lipides, sans matières grasses, 0 matières grasses, zéro matières grasses, aucunes matières grasses, ne contient pas de matières grasses, sans gras, 0 gras, zéro gras, aucun gras, ne contient pas de gras, sans graisses, 0 graisses, zéro graisses, aucunes graisses, ne contient pas de graisses ",12,42157,4,,,,2026-01-28
5476,"Salad dressing, creamy, made with sour cream and/or buttermilk and oil, calorie-reduced, cholesterol-free","Vinaigrette, crémeuse, crème sure et/ou babeurre et/ou huile, réduite en calories, sans cholestérol",,,0,42158,4,,,,2026-01-28
5478,"Salad dressing, French, calorie-reduced","Vinaigrette, Française, réduite en calories",,,12,42171,4,,,,2026-01-28
5480,"Salad dressing, mayonnaise, made with tofu","Vinaigrette, mayonnaise, à base de tofu",,,12,42178,4,,,,2012-06-27
5485,"Dessert, frozen yogourt (yogurt), chocolate","Dessert, congelé, yogourt glacé, chocolat",,yaourt,12,42186,19,,,,2026-01-28
5486,"Wiener (frankfurter), reduced fat","Saucisse fumée, teneur réduite en gras","lower fat, lower in fat, less fat, reduced fat, reduced in fat, fat reduced, hot dog, hotdog, hot-dog","hot dog, hotdog, saucisse hot dog, saucisse hotdog, saucisse à hotdog, saucisse à hot dog, hot-dog, teneur réduite en lipides,moins de lipides,teneur plus faible en lipides,plus pauvre en lipides,teneur réduite en matières grasses,moins de matières grasses,teneur plus faible en matières grasses,plus pauvre en matières grasses,teneur réduite en gras,moins de gras,teneur plus faible en gras,plus pauvre en gras,teneur réduite en graisses,moins de graisses,teneur plus faible en graisses,plus pauvre en graisses",37,42179,7,,,,2026-01-28
5487,"Milk, fluid, buttermilk, 2% M.F.","Babeurre, liquide, 2% M.G.",,Lait de beurre,0,42189,1,,,,2026-01-28
5489,"Salad dressing, blue or roquefort cheese dressing, fat free","Vinaigrette, fromage bleu ou roquefort, sans gras","fat free, free of fat, no fat, 0 fat, zero fat, without fat, contains no fat, non fat","sans lipides, 0 lipides, zéro lipides, aucuns lipides , ne contient pas de lipides, sans matières grasses, 0 matières grasses, zéro matières grasses, aucunes matières grasses, ne contient pas de matières grasses, sans gras, 0 gras, zéro gras, aucun gras, ne contient pas de gras, sans graisses, 0 graisses, zéro graisses, aucunes graisses, ne contient pas de graisses ",12,42192,4,,,,2026-01-28
5490,"Salad dressing, mayonnaise and mayonnaise type, fat free","Vinaigrette, mayonnaise et type mayonnaise, sans gras","fat free, free of fat, no fat, 0 fat, zero fat, without fat, contains no fat, non fat","sans lipides, 0 lipides, zéro lipides, aucuns lipides , ne contient pas de lipides, sans matières grasses, 0 matières grasses, zéro matières grasses, aucunes matières grasses, ne contient pas de matières grasses, sans gras, 0 gras, zéro gras, aucun gras, ne contient pas de gras, sans graisses, 0 graisses, zéro graisses, aucunes graisses, ne contient pas de graisses ",12,42193,4,,,,2026-01-28
